Parameters: Parameters{networkSize=50, networkSizes=[10, 50, 100, 150, 200], offline=true, numTrials=10, alpha=2.0, beta=2.0, threshold=1.0, costFunc=Algorithm.CostFunctions.ExponentialCostFunction@3f89fd4e, serverRatio=0.1, linkBWCapMin=1000.0, linkBWCapMax=10000.0, linkDelayMin=2.0, linkDelayMax=5.0, numRequests=500, L=4, reqBWReqMin=10.0, reqBWReqMax=120.0, reqDelayReqMin=40.0, reqDelayReqMax=200.0, nfvProb=0.1, nfvComputingReqs=[2.0, 3.0, 5.0, 2.0, 6.0, 4.0], nfvRates=[3.0, 5.0, 6.0, 7.0, 8.0, 5.0], nfvOperationalCosts=[3.0, 1.0, 1.0, 5.0, 2.0, 4.0], nfvInitCosts=[30.0, 10.0, 10.0, 50.0, 20.0, 40.0], nfvInitDelays=[60.0, 60.0, 60.0, 90.0, 60.0, 40.0], nfvProcessingDelays=[6.0, 6.0, 6.0, 9.0, 6.0, 4.0]}
L:3 Cost
10 0.9419871752592202 1.1542754205724632
50 1.1062730103136036 1.9564369353320392
100 1.1585043522083613 2.1502975018569654
150 1.2191410904626028 2.045267943069611
200 1.274785453957654 2.2843037908597013
L:3 Running time
10 1641.0077320470773 356.3985489050994
50 3351.8860331531105 2954.9434740837614
100 3425.2987457690747 6077.240932874826
150 5028.201080134937 9314.62338101786
200 8672.173121621505 24070.38892957857
L:4 Cost
10 1.7010959027597843 3.381885630735866
50 1.8330540297630273 3.8978141113149403
100 1.9139687934568645 3.84075950993814
150 1.9620570969687507 3.6953160622463774
200 2.0840409808729032 3.6238203296866085
L:4 Running time
10 829.6304645892144 305.23898824253536
50 1293.8984220031175 1889.0860470204236
100 6610.398761237103 12079.802166106438
150 6148.425014992005 10114.352041725047
200 10763.99573576285 25367.041469344364
L:5 Cost
10 1.922077625664291 2.9926442762612644
50 2.1816081268678826 4.442345330450731
100 2.2901039438798922 3.7983090600774863
150 2.433829190321125 4.072574043939461
200 2.3156202637769443 4.068383253639747
L:5 Running time
10 1571.4392132015776 381.48949276821685
50 2210.8552429714464 1973.5236314724661
100 4266.978821206051 6215.797655817822
150 8459.395805787022 15100.740603411294
200 14267.277306893588 25305.13312807161
L:6 Cost
10 2.488129626624191 2.7943328076598513
50 2.77127594011617 5.958315180108881
100 2.8383447131661654 5.71256070072993
150 2.7216291808189004 5.254146851419492
200 2.821984235600244 5.520426630209928
L:6 Running time
10 1146.6347665712453 684.7895490202819
50 1397.827742058139 1581.6138742161643
100 9401.81184057039 10353.211935414414
150 8841.804375345075 13976.889662254835
200 14445.443588945665 21773.37432256398
