Parameters: Parameters{networkSize=50, networkSizes=[10, 50, 100, 150, 200], offline=true, numTrials=20, alpha=2.0, beta=2.0, threshold=1.0, costFunc=Algorithm.CostFunctions.ExponentialCostFunction@76675798, serverRatio=0.1, linkBWCapMin=1000.0, linkBWCapMax=10000.0, linkDelayMin=2.0, linkDelayMax=5.0, numRequests=500, L=4, reqBWReqMin=10.0, reqBWReqMax=120.0, reqDelayReqMin=40.0, reqDelayReqMax=200.0, nfvProb=0.1, nfvComputingReqs=[2.0, 3.0, 5.0, 2.0, 6.0, 4.0], nfvRates=[3.0, 5.0, 6.0, 7.0, 8.0, 5.0], nfvOperationalCosts=[3.0, 1.0, 1.0, 5.0, 2.0, 4.0], nfvInitCosts=[30.0, 10.0, 10.0, 50.0, 20.0, 40.0], nfvInitDelays=[60.0, 60.0, 60.0, 90.0, 60.0, 40.0], nfvProcessingDelays=[6.0, 6.0, 6.0, 9.0, 6.0, 4.0]}
L:3 Cost
10 0.5611316721765339 0.7655388316753976
50 0.6891301556528749 1.2321361737040168
100 0.7194637811701301 1.2806972437388708
150 0.7575980369551757 1.3614172288774464
200 0.790590848227952 1.4322919852266691
L:3 Running time
10 105.11657670380389 31.06902003000038
50 583.0838054221592 1945.8699575632793
100 1690.8300000039708 2630.3214487018995
150 2881.1369600996813 8008.310524828832
200 4166.246629282405 12774.203716030333
L:4 Cost
10 1.024600431473224 1.361585051136345
50 1.168314347787776 2.4714361710847252
100 1.1637948234967976 2.3245091015448787
150 1.2584234436937556 2.344671960308426
200 1.243704028354017 2.267392178123349
L:4 Running time
10 161.48679458473092 132.7732880913784
50 613.8312058278416 648.3303815957784
100 2179.2106936715404 3714.7852645218677
150 2586.920950495744 5840.05701839299
200 5688.74642642451 14726.973855542663
L:5 Cost
10 1.1903803376315858 2.085127788564282
50 1.3507714024661368 2.5681476695921175
100 1.3870525938068685 2.649511290026607
150 1.388506833073271 2.4630922306441145
200 1.403829701732006 2.4487521901783826
L:5 Running time
10 221.93152133345228 51.517059865718764
50 516.2869950063198 458.3186494037054
100 1799.082565325704 3278.2258652451333
150 2958.499375787988 5766.164106826089
200 5559.824541902701 10294.912681898939
L:6 Cost
10 1.5854082070805677 3.6489358826296305
50 1.6672127002365003 3.7497223484954945
100 1.6674979230944067 3.18760702009131
150 1.7612066147482963 3.3951126948493937
200 1.7597053407301297 3.351150830006801
L:6 Running time
10 375.4780029000679 46.73562933119082
50 997.074410382544 770.1632147146058
100 2365.495162050239 3082.014240783671
150 3323.209865211547 6860.6591723007095
200 5759.193950686002 8681.922345266094
