Parameters: Parameters{networkSize=50, networkSizes=[10, 50, 100, 150, 200], offline=true, numTrials=20, alpha=2.0, beta=2.0, threshold=1.0, costFunc=Algorithm.CostFunctions.ExponentialCostFunction@76675798, serverRatio=0.1, linkBWCapMin=1000.0, linkBWCapMax=10000.0, linkDelayMin=2.0, linkDelayMax=5.0, numRequests=500, L=4, reqBWReqMin=10.0, reqBWReqMax=120.0, reqDelayReqMin=40.0, reqDelayReqMax=200.0, nfvProb=0.1, nfvComputingReqs=[2.0, 3.0, 5.0, 2.0, 6.0, 4.0], nfvRates=[3.0, 5.0, 6.0, 7.0, 8.0, 5.0], nfvOperationalCosts=[3.0, 1.0, 1.0, 5.0, 2.0, 4.0], nfvInitCosts=[30.0, 10.0, 10.0, 50.0, 20.0, 40.0], nfvInitDelays=[60.0, 60.0, 60.0, 90.0, 60.0, 40.0], nfvProcessingDelays=[6.0, 6.0, 6.0, 9.0, 6.0, 4.0]}
L:3 Cost
10 0.571698775085207 0.8746753081222308
50 0.6967416818212353 1.3816794370324779
100 0.7668534366975558 1.5737300635042524
150 0.767113258851649 1.5656710842363668
200 0.7976514021844566 1.5390829223023148
L:3 Running time
10 160.00073684678364 40.000184211842125
50 710.0034210821638 2075.005921103509
100 1420.008815831287 3670.0170790421057
150 2915.013605320468 8885.04389484313
200 3310.0185790562873 10725.046079251319
L:4 Cost
10 1.0105032560740677 2.114500447756856
50 1.1908096488008943 3.21636991762138
100 1.260823442977739 3.6165921225894344
150 1.247615791951611 3.3819583281640537
200 1.3227307068860197 3.7920117321103386
L:4 Running time
10 200.0007368501462 110.00021052690059
50 610.0040789738305 1040.010078978509
100 1780.0068684611113 3910.01623693041
150 2285.011815857457 5850.0374474989785
200 3140.0202632609653 6605.051158180849
L:5 Cost
10 1.213862314715863 3.5503483648133476
50 1.4164932816384934 4.464918068094312
100 1.4839990960970606 5.146933987575416
150 1.5439964209813015 5.421527633594536
200 1.551084120131885 5.493153629431757
L:5 Running time
10 180.000868427924 40.00023684356726
50 410.00315791403517 630.0037895011698
100 1625.0061842472226 3320.007973766375
150 2815.0155000714917 5635.033736978801
200 3960.0190791328955 9110.039079341816
L:6 Cost
10 1.5832370836186602 4.660820650762509
50 1.7628993131701465 7.442034729118057
100 1.919868456376789 7.932208360158434
150 1.8629342978015773 8.393046096332215
200 1.979679988000387 8.250297433575179
L:6 Running time
10 175.0006842153509 150.0005000008772
50 875.0027105472224 945.0035526517546
100 1980.0084737191523 3305.0135263660823
150 3095.01423700117 6235.029895012135
200 4655.028710747515 9135.052105641667
